AGE OF MOTHER,AGE OF FATHER,YEAR,COUNT
47,40-44,2017,0
47,45-49,2017,0
47,50-54,2017,0
47,55-59,2017,0
47,60-64,2017,1
47,65+,2017,0
47,Not Stated,2017,0
48,<20,2017,0
48,20-24,2017,0
48,25-29,2017,0
48,30-34,2017,0
48,35-39,2017,0
48,40-44,2017,0
48,45-49,2017,0
48,50-54,2017,0
48,55-59,2017,0
48,60-64,2017,0
48,65+,2017,0
48,Not Stated,2017,0
49,<20,2017,0
49,20-24,2017,0
49,25-29,2017,0
49,30-34,2017,0
49,35-39,2017,0
49,40-44,2017,0
49,45-49,2017,0
49,50-54,2017,0
49,55-59,2017,0
49,60-64,2017,0
49,65+,2017,0
49,Not Stated,2017,0
50,<20,2017,0
50,20-24,2017,0
50,25-29,2017,0
50,30-34,2017,0
50,35-39,2017,0
50,40-44,2017,0
50,45-49,2017,0
50,50-54,2017,0
50,55-59,2017,0
50,60-64,2017,0
50,65+,2017,0
50,Not Stated,2017,0
51,<20,2017,0
51,20-24,2017,0
51,25-29,2017,0
51,30-34,2017,0
51,35-39,2017,0
51,40-44,2017,0
51,45-49,2017,0
51,50-54,2017,1
51,55-59,2017,0
51,60-64,2017,0
51,65+,2017,0
51,Not Stated,2017,0
52,<20,2017,0
52,20-24,2017,0
52,25-29,2017,0
52,30-34,2017,0
52,35-39,2017,0
52,40-44,2017,0
52,45-49,2017,0
52,50-54,2017,0
52,55-59,2017,0
52,60-64,2017,0
52,65+,2017,0
52,Not Stated,2017,0
53,<20,2017,0
53,20-24,2017,0
53,25-29,2017,0
53,30-34,2017,0
53,35-39,2017,0
53,40-44,2017,0
53,45-49,2017,0
53,50-54,2017,0
53,55-59,2017,0
53,60-64,2017,0
53,65+,2017,0
53,Not Stated,2017,0
54,<20,2017,0
54,20-24,2017,0
54,25-29,2017,0
54,30-34,2017,0
54,35-39,2017,0
54,40-44,2017,0
54,45-49,2017,0
54,50-54,2017,0
54,55-59,2017,0
54,60-64,2017,0
54,65+,2017,0
54,Not Stated,2017,0
55,<20,2017,0
55,20-24,2017,0
55,25-29,2017,0
55,30-34,2017,0
55,35-39,2017,0
55,40-44,2017,0
55,45-49,2017,0
55,50-54,2017,0
55,55-59,2017,0
55,60-64,2017,0
55,65+,2017,0
55,Not Stated,2017,0
56,<20,2017,0
56,20-24,2017,0
56,25-29,2017,0
56,30-34,2017,0
56,35-39,2017,0
56,40-44,2017,0
56,45-49,2017,0
56,50-54,2017,0
56,55-59,2017,0
56,60-64,2017,0
56,65+,2017,0
56,Not Stated,2017,0
57,<20,2017,0
57,20-24,2017,0
57,25-29,2017,0
57,30-34,2017,0
57,35-39,2017,0
57,40-44,2017,0
57,45-49,2017,0
57,50-54,2017,0
57,55-59,2017,0
57,60-64,2017,0
57,65+,2017,0
57,Not Stated,2017,0
58,<20,2017,0
58,20-24,2017,0
58,25-29,2017,0
58,30-34,2017,0
58,35-39,2017,0
58,40-44,2017,0
58,45-49,2017,0
58,50-54,2017,0
58,55-59,2017,0
58,60-64,2017,0
58,65+,2017,0
58,Not Stated,2017,0
59,<20,2017,0
59,20-24,2017,0
59,25-29,2017,0
59,30-34,2017,0
59,35-39,2017,0
59,40-44,2017,0
59,45-49,2017,0
59,50-54,2017,0
59,55-59,2017,0
59,60-64,2017,0
59,65+,2017,0
59,Not Stated,2017,0
Not Stated,<20,2017,0
Not Stated,20-24,2017,0
Not Stated,25-29,2017,0
Not Stated,30-34,2017,0
Not Stated,35-39,2017,0
Not Stated,40-44,2017,0
Not Stated,45-49,2017,0
Not Stated,50-54,2017,0
Not Stated,55-59,2017,0
Not Stated,60-64,2017,0
Not Stated,65+,2017,0
Not Stated,Not Stated,2017,3
12,<20,2018,0
12,20-24,2018,0
12,25-29,2018,0
12,30-34,2018,0
12,35-39,2018,0
12,40-44,2018,0
12,45-49,2018,0
12,50-54,2018,0
12,55-59,2018,0
12,60-64,2018,0
12,65+,2018,0
12,Not Stated,2018,0
13,<20,2018,0
13,20-24,2018,0
13,25-29,2018,0
13,30-34,2018,0
13,35-39,2018,0
13,40-44,2018,0
13,45-49,2018,0
13,50-54,2018,0
13,55-59,2018,0
13,60-64,2018,0
13,65+,2018,0
13,Not Stated,2018,0
14,<20,2018,0
14,20-24,2018,0
14,25-29,2018,0
14,30-34,2018,0
14,35-39,2018,0
14,40-44,2018,0
14,45-49,2018,0
14,50-54,2018,0
14,55-59,2018,0
14,60-64,2018,0
14,65+,2018,0
14,Not Stated,2018,1
15,<20,2018,3
15,20-24,2018,1
15,25-29,2018,0
15,30-34,2018,0
15,35-39,2018,0
15,40-44,2018,0
15,45-49,2018,0
15,50-54,2018,0
15,55-59,2018,0
15,60-64,2018,0
15,65+,2018,0
15,Not Stated,2018,4
16,<20,2018,7
16,20-24,2018,1
16,25-29,2018,0
16,30-34,2018,0
16,35-39,2018,0
16,40-44,2018,0
16,45-49,2018,0
16,50-54,2018,0
16,55-59,2018,0
16,60-64,2018,0
16,65+,2018,0
16,Not Stated,2018,6
17,<20,2018,10
17,20-24,2018,7
17,25-29,2018,1
17,30-34,2018,0
17,35-39,2018,1
17,40-44,2018,0
17,45-49,2018,0
17,50-54,2018,0
17,55-59,2018,0
17,60-64,2018,0
17,65+,2018,0
17,Not Stated,2018,16
18,<20,2018,15
